Latitude,Longitude
9.97393511111111,76.27900694444445
9.9695199,76.252566
9.967281333333334,76.243515
9.962408055555555,76.24331663888888
9.954545,76.26030730555556
9.9516818,76.2369569
9.1905531,45.4645009
8.5652481,50.0484984
8.5608027,50.046527
8.1106981,98.3052512
8.1082981,98.9351775
8.1077149,98.9166558
8.1055767,98.9508386
8.1033785,98.9083577
8.1029907,98.9668863
8.0989056,98.306802
8.0988656,98.9756867
8.0969625,98.9112563
8.0940511,98.9809024
8.0922535,98.9123351
8.0910629,98.3394755
8.0908474,98.8661111
8.0874556,98.9129749
8.0860222,98.8762125
8.0848889,98.9898282
8.0825181,98.863333
8.0822291,98.8960053
8.0782264,98.8543596
8.0781804,98.915286
8.0769209,98.9930591
8.0751498,98.8296256
8.0739001,98.9050676
8.0724142,98.3422141
8.0712455,98.9977153
8.0698333,98.9163139
8.0697254,98.8428124
8.0662497,99.0025621
8.0651683,98.9173344
8.0636362,98.8310956
8.0609776,99.0121158
8.0601428,98.9170326
8.0559017,98.8178269
8.055891027777779,98.77464294444444
8.0542177,98.9167053
8.0540644,99.0287916
8.0512713,98.8080925
8.0482874,99.0399446
8.0470267,98.3368055
8.045872666666666,98.81320952777777
8.0431716,99.0790795
8.0422429,98.842715
8.0407841,98.8149071
8.037521,98.8336944
8.0363053,99.0874645
8.035877222222222,98.86093899999999
8.033744,98.8198993
8.027707083333334,98.82114408333332
8.0230803,98.3347463
8.022746083333335,98.82923888888888
8.0141622,98.8382203
8.0095984,98.8409549
8.0067398,98.3427224
8.004714944444444,98.83633422222222
7.9934921,98.3530266
7.9930724,98.7894311
7.9892284,98.3036678
7.9808162,98.3641023
7.9643917,98.3769984
7.9553325,99.1426554
7.9516408,98.387475
7.9516271,98.2814092
7.9430952,99.144565
7.938292055555555,99.22011563888888
7.9381158,99.1450251
7.9371003,98.3239516
7.9327713,99.2068163
7.9327667,99.1458785
7.9289482,98.2724108
7.9270037,99.2362607
7.9223462,99.2505571
7.9140129,98.3396905
7.9093322,98.331711
7.9055479,98.4136346
7.9049041,98.302228
7.904854,98.3631433
7.9000167,98.3680627
7.8998571,98.2969694
7.8953081,98.3685871
7.8952813,98.2990474
7.8907315,98.2946449
7.8904592,98.3682649
7.885954388888888,98.38890075
7.8858302,98.2978095
7.883008,99.12882230555554
7.8814858,98.3639579
7.8803694,98.2934356
7.876854,98.3635553
7.872239,98.3600176
7.8698188,98.2610096
7.867427,98.3555051
7.863855,98.98848
7.862471,98.3606846
7.8578053,98.3401601
7.8568187,99.2245739
7.8567633,99.1521667
7.8530839,98.3554797
7.8527373,98.2944042
7.847858,98.3512712
7.8468374,98.293633
7.8432376,98.3575369
7.8398287,98.294987
7.8380675,98.3486808
7.8361862,98.9835252
7.8339709,98.2975859
7.8332490833333335,99.111763
7.8312398,98.3495171
7.8278613,99.1048246
7.8262244,98.3431148
7.8216693,98.341696
7.8189754,99.1009021
7.8170045,98.339554
7.809543,98.3001625
7.805365,99.01283583333333
7.8047145,98.3362898
7.8047019,99.0900441
7.799335,98.3329715
7.792977777777778,98.30493055555556
7.7871103,98.3297343
7.7830508,99.0591336
7.78181,98.3103172
7.7772174,98.305608
7.7757883055555554,99.0636215
7.7726731,98.3076537
7.7532483,99.0337547
7.746875,99.03719194444444
7.7424009,99.0916067
7.735018,99.0692369
7.7303732,99.1793012
7.7303578,99.0664159
7.7221609,99.041329
7.7171032,99.0894146
7.715429305555555,99.03544616666666
7.71276,99.0707815
7.6941031,99.0734215
7.6884565,99.0918124
7.6777802,99.2009889
7.6744662,99.0721396
7.672892777777778,99.04349388888889
7.6619393,99.0427912
7.656784,99.1013888
7.6555242,99.0415793
7.6506852,99.0365292
7.6459513,99.034858
7.641684527777778,99.10913083333332
7.6391801,99.034014
7.6337009,99.1136248
7.6331569,99.0337553
7.6286034,99.0377025
7.6263681,99.1171874
7.6243676,99.0792263
7.620036111111111,98.36186944444444
7.6190353,99.1207501
7.6175707,99.0326568
7.6171699,98.3791928
